所属区,初中学校代码,初中学校名称,招生高中名称,招生高中代码,分配名额数
静安区,61062,上海外国语大学苏河湾实验中学,上海市市北中学,62004,3
静安区,61062,上海外国语大学苏河湾实验中学,上海市回民中学,62011,2
静安区,61062,上海外国语大学苏河湾实验中学,上海市第六十中学,63004,2
静安区,61062,上海外国语大学苏河湾实验中学,上海市华东模范中学,64001,2
静安区,61066,上海市青云中学,上海市市西中学,62001,6
静安区,61066,上海市青云中学,上海市育才中学,62002,6
静安区,61066,上海市青云中学,上海市新中高级中学,62003,6
静安区,61066,上海市青云中学,上海市市北中学,62004,7
静安区,61066,上海市青云中学,上海市回民中学,62011,4
静安区,61066,上海市青云中学,上海市第六十中学,63004,5
静安区,61066,上海市青云中学,上海市华东模范中学,64001,4
静安区,61066,上海市青云中学,上海交通大学附属中学,102056,1
静安区,61071,上海市岭南中学,上海市市西中学,62001,3
静安区,61071,上海市岭南中学,上海市育才中学,62002,3
静安区,61071,上海市岭南中学,上海市新中高级中学,62003,3
静安区,61071,上海市岭南中学,上海市市北中学,62004,4
静安区,61071,上海市岭南中学,上海市回民中学,62011,2
静安区,61071,上海市岭南中学,上海市第六十中学,63004,3
静安区,61071,上海市岭南中学,上海市华东模范中学,64001,2
静安区,61072,上海市保德中学,上海市市西中学,62001,2
静安区,61072,上海市保德中学,上海市育才中学,62002,2
静安区,61072,上海市保德中学,上海市新中高级中学,62003,2
静安区,61072,上海市保德中学,上海市市北中学,62004,2
静安区,61072,上海市保德中学,上海市回民中学,62011,2
静安区,61072,上海市保德中学,上海市第六十中学,63004,2
静安区,61072,上海市保德中学,上海市华东模范中学,64001,2
静安区,61073,上海市彭浦第三中学,上海市市西中学,62001,5
静安区,61073,上海市彭浦第三中学,上海市育才中学,62002,5
静安区,61073,上海市彭浦第三中学,上海市新中高级中学,62003,5
静安区,61073,上海市彭浦第三中学,上海市市北中学,62004,5
静安区,61073,上海市彭浦第三中学,上海市回民中学,62011,3
静安区,61073,上海市彭浦第三中学,上海市第六十中学,63004,4
静安区,61073,上海市彭浦第三中学,上海市华东模范中学,64001,3
静安区,61074,上海市彭浦第四中学,上海市市西中学,62001,3
静安区,61074,上海市彭浦第四中学,上海市育才中学,62002,3
静安区,61074,上海市彭浦第四中学,上海市新中高级中学,62003,3
静安区,61074,上海市彭浦第四中学,上海市市北中学,62004,3
静安区,61074,上海市彭浦第四中学,上海市回民中学,62011,2
静安区,61074,上海市彭浦第四中学,上海市第六十中学,63004,2
静安区,61074,上海市彭浦第四中学,上海市华东模范中学,64001,2
静安区,61074,上海市彭浦第四中学,上海市上海中学,42032,1
静安区,62011,上海市回民中学,上海市市西中学,62001,3
静安区,62011,上海市回民中学,上海市育才中学,62002,3
静安区,62011,上海市回民中学,上海市新中高级中学,62003,3
静安区,62011,上海市回民中学,上海市市北中学,62004,3
