区县,高中学校,录取分数线,是否完成,招生计划数,总分,语文,数学,英语
奉贤区,华东师范大学第三附属中学,701,否,50,389,125,122,122
奉贤区,上海市松江二中,731,否,50,413,145,133,125
奉贤区,华东师范大学第二附属中学松江分校,732,否,50,403,134,126,135
奉贤区,上海市松江一中,706,否,50,389,129,123,124
奉贤区,上海外国语大学附属外国语学校松江云间中学,721.5,否,50,396.5,123,128,132
奉贤区,上海市青浦高级中学,698,否,50,377,111,127,131
奉贤区,上海市朱家角中学,672.5,否,50,351.5,117,122,131
奉贤区,上海市奉贤中学,757,否,50,416,148,125,142
奉贤区,华东师范大学第二附属中学临港奉贤分校,737.5,否,50,410,143,127,132
奉贤区,上海市崇明中学,697.5,否,50,387.5,124,124,121
宝山区,上海市格致中学,742.5,否,50,406.5,134,128,142
宝山区,上海市大同中学,736,否,50,409,137,132,134
宝山区,上海外国语大学附属大境中学,706,否,50,397,132,127,116
宝山区,上海市光明中学,681.5,否,50,361.5,130,96,128
宝山区,上海市第二中学,712.5,否,50,387,128,120,134
宝山区,上海市南洋模范中学,736.5,否,50,406,130,131,135
宝山区,上海市上海中学,754,否,50,418,139,132,139
宝山区,上海市位育中学,737.5,否,50,404.5,142,121,141
宝山区,上海市南洋中学,717,否,50,386,132,119,135
宝山区,上海市第三女子中学,715.5,否,50,392.5,124,129,128
宝山区,上海市延安中学,746,否,50,411,139,128,143
宝山区,上海市复旦中学,698,否,50,380,124,126,126
宝山区,上海市市西中学,727.5,否,50,400.5,121,137,131
宝山区,上海市育才中学,723.5,否,50,397,128,126,133
宝山区,上海市新中高级中学,708.5,否,50,391,123,127,129
宝山区,上海市市北中学,716.5,否,50,393.5,130,128,132
宝山区,上海市回民中学,685,否,50,377.5,119,117,116
宝山区,上海市第六十中学,682,否,50,371,132,124,126
宝山区,上海市华东模范中学,683,否,50,374.5,125,122,123
宝山区,上海市晋元高级中学,724.5,否,50,406,137,126,126
宝山区,上海市曹杨第二中学,751,否,50,409,130,136,142
宝山区,上海市宜川中学,719,否,50,397,135,121,136
宝山区,复旦大学附属复兴中学,742.5,否,50,399.5,124,131,147
宝山区,华东师范大学第一附属中学,726,否,50,396,129,127,138
宝山区,上海财经大学附属北郊高级中学,704.5,否,50,395.5,127,132,125
宝山区,上海市杨浦高级中学,727.5,否,50,401.5,129,129,135
宝山区,上海市控江中学,738.5,否,50,401.5,127,131,135
宝山区,上海交通大学附属中学,760,否,50,422,141,133,143
宝山区,复旦大学附属中学,762,否,50,421,150,126,144
宝山区,同济大学第一附属中学,716.5,否,50,382.5,122,122,138
宝山区,上海市七宝中学,752.5,否,50,416.5,142,130,138
宝山区,华东师范大学第二附属中学闵行紫竹分校,751,否,50,414,136,135,141
宝山区,上海师范大学附属中学闵行分校,736.5,否,50,404.5,142,127,137
宝山区,上海市闵行中学,710,否,50,389.5,133,127,127
宝山区,上海市行知中学,744,否,50,413,139,129,138
宝山区,上海大学附属中学,729.5,否,50,404.5,135,128,129
宝山区,上海师范大学附属中学宝山分校,743,否,50,410,139,133,139
宝山区,上海市吴淞中学,725,否,50,401,137,126,134
宝山区,华东师范大学第二附属中学（宝山校区）,756.5,否,50,418.5,142,132,139
宝山区,上海市嘉定区第一中学,726.5,否,50,396.5,130,126,137
宝山区,上海交通大学附属中学嘉定分校,758,否,50,423,143,135,139
宝山区,上海师范大学附属中学嘉定新城分校,716.5,否,50,388.5,128,122,135
宝山区,上海中学东校,735.5,否,50,401.5,140,125,141
宝山区,上海市建平中学,743,否,50,406.5,138,123,138
宝山区,上海市进才中学,736,否,50,394,129,127,141
宝山区,华东师范大学第二附属中学,750.5,否,50,415,144,126,139
宝山区,上海南汇中学,705.5,否,50,384,124,126,127
宝山区,上海市洋泾中学,719,否,50,386,129,115,139
宝山区,上海市高桥中学,704.5,否,50,390.5,127,121,126
宝山区,上海市川沙中学,720.5,否,50,400.5,136,125,128
宝山区,上海市金山中学,726.5,否,50,400.5,133,131,132
宝山区,华东师范大学第三附属中学,697,否,50,397,126,130,112
宝山区,上海市松江二中,739,否,50,404.5,137,125,142
宝山区,上海市松江一中,700.5,否,50,374.5,124,118,131
宝山区,上海外国语大学附属外国语学校松江云间中学,729.5,否,50,391.5,131,127,143
宝山区,上海市青浦高级中学,709.5,否,50,386,136,119,135
宝山区,复旦大学附属中学青浦分校,749.5,否,50,419.5,142,133,136
宝山区,上海市朱家角中学,687.5,否,50,377,120,116,119
宝山区,上海市奉贤中学,727.5,否,50,396.5,125,127,135
宝山区,华东师范大学第二附属中学临港奉贤分校,744,否,50,412,140,132,135
宝山区,上海市崇明中学,703,否,50,378,115,123,133
宝山区,上海市实验学校东滩高级中学,705.5,否,50,386.5,117,129,124
崇明区,上海市育才中学,661.5,否,50,361,115,127,111
崇明区,上海市宜川中学,666.5,否,50,354.5,121,121,126
崇明区,上海市控江中学,726,否,50,406,131,132,125
崇明区,上海交通大学附属中学,763.5,否,50,424.5,145,136,142
崇明区,复旦大学附属中学,750.5,否,50,411.5,135,131,141
崇明区,上海师范大学附属中学闵行分校,721.5,否,50,393.5,130,125,134
崇明区,上海市闵行中学,704.5,否,50,377.5,114,131,132
崇明区,上海市行知中学,715,否,50,390,130,125,135
崇明区,上海大学附属中学,697,否,50,376.5,121,124,137
崇明区,上海师范大学附属中学宝山分校,708.5,否,50,386.5,135,116,136
崇明区,上海市吴淞中学,693.5,否,50,378.5,124,121,129
崇明区,华东师范大学第二附属中学（宝山校区）,739,否,50,411,132,131,133
崇明区,上海市嘉定区第一中学,691,否,50,376,119,121,127
崇明区,上海市建平中学,747,否,50,413,135,130,138
崇明区,上海市进才中学,739.5,否,50,413.5,135,133,131
崇明区,华东师范大学第二附属中学,768.5,否,50,421.5,150,129,146
崇明区,上海南汇中学,687,否,50,368,120,122,132
崇明区,上海市洋泾中学,721,否,50,393,128,125,128
崇明区,上海市高桥中学,691.5,否,50,380.5,121,128,124
崇明区,上海市川沙中学,723,否,50,404,130,136,128
崇明区,华东师范大学第三附属中学,665.5,否,50,362.5,116,113,118
崇明区,上海市松江一中,674.5,否,50,346.5,97,117,135
崇明区,上海外国语大学附属外国语学校松江云间中学,719,否,50,400,131,124,126
崇明区,上海市青浦高级中学,669.5,否,50,354.5,137,99,131
崇明区,上海市奉贤中学,703.5,否,50,397.5,136,120,122
崇明区,上海市崇明中学,725.5,否,50,404.5,139,125,129
崇明区,上海市实验学校东滩高级中学,734,否,50,399,135,129,139
徐汇区,上海市格致中学,740.5,否,50,401.5,130,131,141
徐汇区,上海市大同中学,731,否,50,394,135,120,141
徐汇区,上海市向明中学,724.5,否,50,394.5,135,125,137
徐汇区,上海外国语大学附属大境中学,693.5,否,50,375,114,122,128
徐汇区,上海市光明中学,696,否,50,373,113,123,133
徐汇区,上海市敬业中学,711.5,否,50,392.5,132,127,124
徐汇区,上海市卢湾高级中学,708.5,否,50,386.5,129,119,128
徐汇区,上海市第二中学,727.5,否,50,401.5,140,123,134
徐汇区,上海市第二中学（梅陇校区）,725.5,否,50,399,135,126,136
徐汇区,上海市南洋模范中学,758.5,否,50,415.5,147,130,147
徐汇区,上海市上海中学,760,否,50,418,146,129,145
徐汇区,上海市位育中学,742.5,否,50,406.5,130,130,142
徐汇区,复旦大学附属中学徐汇分校,762,否,50,426,150,130,140
徐汇区,上海市南洋中学,731,否,50,396.5,136,120,140
徐汇区,上海市第三女子中学,725,否,50,391,125,127,135
徐汇区,上海市延安中学,748,否,50,408.5,138,127,144
徐汇区,上海市复旦中学,727,否,50,404,127,130,129
徐汇区,上海市市西中学,715,否,50,385,134,129,138
徐汇区,上海市育才中学,713,否,50,395,140,120,127
徐汇区,上海市新中高级中学,721,否,50,399,136,130,127
徐汇区,上海市市北中学,710,否,50,374.5,138,119,144
徐汇区,上海市回民中学,680,否,50,359.5,121,109,126
徐汇区,上海市第六十中学,685,否,40,367,101,126,133
徐汇区,上海市华东模范中学,680,否,50,374.5,134,112,116
徐汇区,上海市曹杨第二中学,734.5,否,50,398.5,139,119,144
徐汇区,上海市宜川中学,708.5,否,50,385,122,121,133
徐汇区,华东师范大学第二附属中学（普陀校区）,752,否,50,418,139,135,138
徐汇区,上海财经大学附属北郊高级中学,705,否,50,383.5,129,124,127
徐汇区,上海市杨浦高级中学,708,否,50,393,126,130,124
徐汇区,上海市控江中学,734.5,否,50,406.5,134,135,135
