序号,学校全称,招生代码,所属区,办别,学校类型,备注
77,上海安生学校,074081,普陀区,民办,一般高中,
78,上海市曹杨第二中学东校,074085,普陀区,公办,一般高中,
79,上海培佳双语学校,075013,普陀区,民办,一般高中,
80,复旦大学附属复兴中学,092001,虹口区,公办,市实验性示范性高中,
81,华东师范大学第一附属中学,092002,虹口区,公办,市实验性示范性高中,
82,上海财经大学附属北郊高级中学,093001,虹口区,公办,市实验性示范性高中,
83,上海师范大学附属虹口中学,094005,虹口区,公办,区实验性示范性高中,
84,上海音乐学院虹口区北虹高级中学,093003,虹口区,公办,区实验性示范性高中,
85,上海市继光高级中学,093004,虹口区,公办,区实验性示范性高中,
86,同济大学附属澄衷中学,094006,虹口区,公办,区实验性示范性高中,
87,上海市鲁迅中学,094001,虹口区,公办,区实验性示范性高中,
88,上海市第五十二中学,094003,虹口区,公办,一般高中,
89,上海市友谊中学,094004,虹口区,公办,一般高中,
90,上海外国语大学附属外国语学校东校,094049,虹口区,公办,一般高中,
91,上海市杨浦高级中学,102004,杨浦区,公办,市实验性示范性高中,
92,上海市控江中学,102032,杨浦区,公办,市实验性示范性高中,
93,同济大学第一附属中学,103002,杨浦区,公办,市实验性示范性高中,
94,上海理工大学附属中学,103039,杨浦区,公办,区实验性示范性高中(市特色普通高中),
95,上海市市东实验学校(上海市市东中学),103012,杨浦区,公办,区实验性示范性高中,
96,上海财经大学附属中学,103026,杨浦区,公办,区实验性示范性高中,
97,上海市同济中学,103049,杨浦区,公办,区实验性示范性高中,
98,上海市中原中学,103061,杨浦区,公办,区实验性示范性高中,
99,上海市复旦实验中学,103075,杨浦区,公办,区实验性示范性高中,
100,上海理工大学附属杨浦少云中学,104050,杨浦区,公办,区实验性示范性高中,
101,上海市民星中学,104066,杨浦区,公办,区实验性示范性高中,
102,上海市体育学院附属中学,104073,杨浦区,公办,区实验性示范性高中,
103,复旦大学第二附属中学,102058,杨浦区,公办,一般高中,
104,上海市民办上实剑桥外国语中学,104021,杨浦区,民办,一般高中,
105,上海市七宝中学,122001,闵行区,公办,市实验性示范性高中,
106,上海市闵行中学,123001,闵行区,公办,市实验性示范性高中,
107,华东师范大学第二附属中学闵行紫竹分校,122002,闵行区,公办,享受市实验性示范性高中招生政策高中,
108,上海师范大学附属中学闵行分校,122003,闵行区,公办,享受市实验性示范性高中招生政策高中,
109,上海交通大学附属中学闵行分校,122004,闵行区,公办,享受市实验性示范性高中招生政策高中,
