district,high_school_code,seats,year,total_admission_score,chinese_admission_score,math_admission_score,english_admission_score,physics_admission_score,chemistry_admission_score,politics_admission_score,history_admission_score
宝山区,122001,6,2025,752.5,142.0,130.0,138.0,,,,
宝山区,123001,10,2025,710.0,133.0,127.0,127.0,,,,
宝山区,122002,2,2025,751.0,136.0,135.0,141.0,,,,
宝山区,122003,5,2025,736.5,142.0,127.0,137.0,,,,
宝山区,132001,10,2025,744.0,139.0,129.0,138.0,,,,
宝山区,132002,10,2025,729.5,135.0,128.0,129.0,,,,
宝山区,133001,10,2025,725.0,137.0,126.0,134.0,,,,
宝山区,132003,3,2025,743.0,139.0,133.0,139.0,,,,
宝山区,133003,5,2025,,,,,,,,
宝山区,142001,8,2025,726.5,130.0,126.0,137.0,,,,
宝山区,142002,8,2025,758.0,143.0,135.0,139.0,,,,
宝山区,142004,3,2025,716.5,128.0,122.0,135.0,,,,
宝山区,152001,8,2025,743.0,138.0,123.0,138.0,,,,
宝山区,152002,8,2025,736.0,129.0,127.0,141.0,,,,
宝山区,152004,8,2025,705.5,124.0,126.0,127.0,,,,
宝山区,153001,5,2025,719.0,129.0,115.0,139.0,,,,
宝山区,153004,8,2025,704.5,127.0,121.0,126.0,,,,
宝山区,153005,5,2025,720.5,136.0,125.0,128.0,,,,
宝山区,151078,8,2025,735.5,140.0,125.0,141.0,,,,
宝山区,162000,2,2025,726.5,133.0,131.0,132.0,,,,
宝山区,163002,2,2025,697.0,126.0,130.0,112.0,,,,
宝山区,172001,3,2025,739.0,137.0,125.0,142.0,,,,
宝山区,173001,3,2025,700.5,124.0,118.0,131.0,,,,
宝山区,174003,4,2025,729.5,131.0,127.0,143.0,,,,
宝山区,182001,5,2025,709.5,136.0,119.0,135.0,,,,
宝山区,183002,7,2025,687.5,120.0,116.0,119.0,,,,
宝山区,182002,3,2025,749.5,142.0,133.0,136.0,,,,
宝山区,202001,2,2025,727.5,125.0,127.0,135.0,,,,
宝山区,202002,1,2025,744.0,140.0,132.0,135.0,,,,
宝山区,512000,8,2025,703.0,115.0,123.0,133.0,,,,
宝山区,512001,3,2025,705.5,117.0,129.0,124.0,,,,
崇明区,042032,2,2025,,,,,,,,
崇明区,102056,2,2025,763.5,145.0,136.0,142.0,,,,
崇明区,102057,2,2025,750.5,135.0,131.0,141.0,,,,
崇明区,152003,1,2025,768.5,150.0,129.0,146.0,,,,
崇明区,062002,1,2025,661.5,115.0,127.0,111.0,,,,
崇明区,062003,1,2025,,,,,,,,
崇明区,073003,3,2025,666.5,121.0,121.0,126.0,,,,
崇明区,102004,1,2025,,,,,,,,
崇明区,102032,2,2025,726.0,131.0,132.0,125.0,,,,
崇明区,123001,2,2025,704.5,114.0,131.0,132.0,,,,
崇明区,122003,2,2025,721.5,130.0,125.0,134.0,,,,
崇明区,132001,16,2025,715.0,130.0,125.0,135.0,,,,
崇明区,132002,4,2025,697.0,121.0,124.0,137.0,,,,
崇明区,133001,4,2025,693.5,124.0,121.0,129.0,,,,
崇明区,132003,3,2025,708.5,135.0,116.0,136.0,,,,
崇明区,133003,4,2025,,,,,,,,
崇明区,142001,2,2025,691.0,119.0,121.0,127.0,,,,
崇明区,152001,4,2025,747.0,135.0,130.0,138.0,,,,
崇明区,152002,4,2025,739.5,135.0,133.0,131.0,,,,
崇明区,152004,6,2025,687.0,120.0,122.0,132.0,,,,
崇明区,153001,4,2025,721.0,128.0,125.0,128.0,,,,
崇明区,153004,6,2025,691.5,121.0,128.0,124.0,,,,
崇明区,153005,1,2025,723.0,130.0,136.0,128.0,,,,
奉贤区,042032,4,2025,765.5,144.0,137.0,140.0,,,,
奉贤区,102056,6,2025,747.0,141.0,132.0,137.0,,,,
奉贤区,102057,4,2025,753.0,141.0,126.0,146.0,,,,
奉贤区,152003,5,2025,743.5,142.0,123.0,134.0,,,,
奉贤区,152006,3,2025,675.5,118.0,121.0,113.0,,,,
奉贤区,012002,20,2025,,,,,,,,
奉贤区,042001,1,2025,716.5,140.0,117.0,133.0,,,,
奉贤区,042035,1,2025,738.5,135.0,130.0,137.0,,,,
奉贤区,043015,2,2025,701.0,120.0,125.0,122.0,,,,
奉贤区,053004,1,2025,723.0,136.0,121.0,138.0,,,,
奉贤区,062002,3,2025,709.5,131.0,130.0,124.0,,,,
奉贤区,072001,1,2025,718.5,138.0,121.0,123.0,,,,
奉贤区,073003,3,2025,664.5,112.0,120.0,123.0,,,,
奉贤区,092002,1,2025,729.0,136.0,125.0,134.0,,,,
奉贤区,102004,3,2025,703.5,127.0,128.0,125.0,,,,
奉贤区,122001,3,2025,752.5,150.0,127.0,137.0,,,,
奉贤区,123001,6,2025,718.0,129.0,123.0,127.0,,,,
奉贤区,122003,7,2025,724.5,126.0,128.0,131.0,,,,
奉贤区,122004,6,2025,741.5,132.0,135.0,136.0,,,,
奉贤区,132001,6,2025,707.5,124.0,124.0,128.0,,,,
奉贤区,132002,2,2025,706.5,128.0,119.0,132.0,,,,
奉贤区,133001,4,2025,694.0,128.0,113.0,132.0,,,,
奉贤区,133003,2,2025,,,,,,,,
奉贤区,142001,4,2025,710.0,114.0,133.0,132.0,,,,
奉贤区,142004,5,2025,708.0,124.0,136.0,126.0,,,,
奉贤区,152001,2,2025,746.0,137.0,132.0,140.0,,,,
奉贤区,152002,5,2025,735.0,132.0,126.0,135.0,,,,
奉贤区,152004,15,2025,703.5,131.0,121.0,134.0,,,,
奉贤区,153001,4,2025,704.0,133.0,120.0,129.0,,,,
奉贤区,153004,6,2025,693.5,119.0,126.0,120.0,,,,
奉贤区,153005,3,2025,707.5,126.0,129.0,124.5,,,,
奉贤区,151078,4,2025,729.5,135.0,120.0,136.0,,,,
奉贤区,162000,3,2025,719.0,140.0,123.0,139.0,,,,
奉贤区,163002,5,2025,701.0,125.0,122.0,122.0,,,,
奉贤区,172001,2,2025,731.0,145.0,133.0,125.0,,,,
奉贤区,173001,7,2025,706.0,129.0,123.0,124.0,,,,
