code,name,district,type,ownership_type,full_type,address,phone,email,features,faculty,note,created_at,updated_at
073004,上海市曹杨中学,普陀区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
074005,同济大学第二附属中学,普陀区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
074007,上海市甘泉外国语中学,普陀区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
074016,上海音乐学院附属安师实验中学,普陀区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
074010,上海市长征中学,普陀区,区重点,公办,区实验性示范性高中,,,,,,,,
074011,上海市桃浦中学,普陀区,一般高中,公办,一般高中,,,,,,,,
074018,上海华东师范大学附属进华中学,普陀区,一般高中,民办,一般高中,,,,,,,,
074081,上海安生学校,普陀区,一般高中,民办,一般高中,,,,,,,,
074085,上海市曹杨第二中学东校,普陀区,一般高中,公办,一般高中,,,,,,,,
075013,上海培佳双语学校,普陀区,一般高中,民办,一般高中,,,,,,,,
092001,复旦大学附属复兴中学,虹口区,市重点,公办,市实验性示范性高中,,,,,,,,
092002,华东师范大学第一附属中学,虹口区,市重点,公办,市实验性示范性高中,,,,,,,,
093001,上海财经大学附属北郊高级中学,虹口区,市重点,公办,市实验性示范性高中,,,,,,,,
094005,上海师范大学附属虹口中学,虹口区,区重点,公办,区实验性示范性高中,,,,,,,,
093003,上海音乐学院虹口区北虹高级中学,虹口区,区重点,公办,区实验性示范性高中,,,,,,,,
093004,上海市继光高级中学,虹口区,区重点,公办,区实验性示范性高中,,,,,,,,
094006,同济大学附属澄衷中学,虹口区,区重点,公办,区实验性示范性高中,,,,,,,,
094001,上海市鲁迅中学,虹口区,区重点,公办,区实验性示范性高中,,,,,,,,
094003,上海市第五十二中学,虹口区,一般高中,公办,一般高中,,,,,,,,
094004,上海市友谊中学,虹口区,一般高中,公办,一般高中,,,,,,,,
094049,上海外国语大学附属外国语学校东校,虹口区,一般高中,公办,一般高中,,,,,,,,
102004,上海市杨浦高级中学,杨浦区,市重点,公办,市实验性示范性高中,,,,,,,,
102032,上海市控江中学,杨浦区,市重点,公办,市实验性示范性高中,,,,,,,,
103002,同济大学第一附属中学,杨浦区,市重点,公办,市实验性示范性高中,,,,,,,,
103039,上海理工大学附属中学,杨浦区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
103012,上海市市东实验学校(上海市市东中学),杨浦区,区重点,公办,区实验性示范性高中,,,,,,,,
103026,上海财经大学附属中学,杨浦区,区重点,公办,区实验性示范性高中,,,,,,,,
103049,上海市同济中学,杨浦区,区重点,公办,区实验性示范性高中,,,,,,,,
103061,上海市中原中学,杨浦区,区重点,公办,区实验性示范性高中,,,,,,,,
103075,上海市复旦实验中学,杨浦区,区重点,公办,区实验性示范性高中,,,,,,,,
104050,上海理工大学附属杨浦少云中学,杨浦区,区重点,公办,区实验性示范性高中,,,,,,,,
104066,上海市民星中学,杨浦区,区重点,公办,区实验性示范性高中,,,,,,,,
104073,上海市体育学院附属中学,杨浦区,区重点,公办,区实验性示范性高中,,,,,,,,
102058,复旦大学第二附属中学,杨浦区,一般高中,公办,一般高中,,,,,,,,
104021,上海市民办上实剑桥外国语中学,杨浦区,一般高中,民办,一般高中,,,,,,,,
122001,上海市七宝中学,闵行区,市重点,公办,市实验性示范性高中,,,,,,,,
123001,上海市闵行中学,闵行区,市重点,公办,市实验性示范性高中,,,,,,,,
122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
122003,上海师范大学附属中学闵行分校,闵行区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
122004,上海交通大学附属中学闵行分校,闵行区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
124006,上海市闵行第三中学,闵行区,特色高中,公办,市特色普通高中,,,,,,,,
123002,上海市莘庄中学,闵行区,区重点,公办,区实验性示范性高中,,,,,,,,
123003,上海外国语大学闵行外国语中学,闵行区,区重点,公办,区实验性示范性高中,,,,,,,,
124005,华东理工大学附属闵行科技高级中学,闵行区,区重点,公办,区实验性示范性高中,,,,,,,,
124022,北京外国语大学附属上海闵行田园高级中学,闵行区,区重点,公办,区实验性示范性高中,,,,,,,,
124108,上海市文来中学,闵行区,区重点,民办,区实验性示范性高中,,,,,,含国际课程班,,
125028,华东师范大学附属闵行永德学校,闵行区,一般高中,公办,一般高中,,,,,,,,
124010,上海市第二体育运动学校(上海市体育中学),闵行区,一般高中,公办,一般高中,,,,,,,,
124011,上海市七宝中学附属鑫都实验中学,闵行区,一般高中,公办,一般高中,,,,,,,,
124012,上海市闵行中学东校,闵行区,一般高中,公办,一般高中,,,,,,,,
124013,上海市闵行区实验高级中学,闵行区,一般高中,公办,一般高中,,,,,,,,
124015,上海市七宝中学浦江分校,闵行区,一般高中,公办,一般高中,,,,,,,,
124019,上海中医药大学附属浦江高级中学,闵行区,一般高中,公办,一般高中,,,,,,,,
124020,上海市金汇高级中学,闵行区,一般高中,公办,一般高中,,,,,,,,
124024,上海市古美高级中学,闵行区,一般高中,公办,一般高中,,,,,,,,
124109,上海市民办文绮中学,闵行区,一般高中,民办,一般高中,,,,,,,,
124111,上海协和双语高级中学,闵行区,一般高中,民办,一般高中,,,,,,国际课程班,,
124114,上海市闵行区教育学院附属中学,闵行区,一般高中,公办,一般高中,,,,,,,,
124115,上海闵行区协和双语教科学校,闵行区,一般高中,民办,一般高中,,,,,,,,
124116,上海市民办燎原双语高级中学,闵行区,一般高中,民办,一般高中,,,,,,,,
125008,上海交通大学附属闵行实验学校,闵行区,一般高中,公办,一般高中,,,,,,,,
125113,上海星河湾双语学校,闵行区,一般高中,民办,一般高中,,,,,,国际课程班,,
125115,上海闵行区万科双语学校,闵行区,一般高中,民办,一般高中,,,,,,,,
125117,上海闵行区诺达双语学校,闵行区,一般高中,民办,一般高中,,,,,,,,
125119,上海闵行区民办德闳学校,闵行区,一般高中,民办,一般高中,,,,,,,,
128100,上海七宝德怀特高级中学,闵行区,一般高中,民办,一般高中,,,,,,,,
132001,上海市行知中学,宝山区,市重点,公办,市实验性示范性高中,,,,,,,,
132002,上海大学附属中学,宝山区,市重点,公办,市实验性示范性高中,,,,,,,,
133001,上海市吴淞中学,宝山区,市重点,公办,市实验性示范性高中,,,,,,,,
132003,上海师范大学附属中学宝山分校,宝山区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
133003,华东师范大学第二附属中学(宝山校区),宝山区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
133002,上海师范大学附属宝山罗店中学,宝山区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
134001,上海市宝山中学,宝山区,区重点,公办,区实验性示范性高中,,,,,,,,
134002,上海市通河中学,宝山区,区重点,公办,区实验性示范性高中,,,,,,,,
134004,上海市顾村中学,宝山区,区重点,公办,区实验性示范性高中,,,,,,,,
134005,上海市行知实验中学,宝山区,区重点,公办,区实验性示范性高中,,,,,,,,
134003,上海市淞浦中学,宝山区,一般高中,公办,一般高中,,,,,,,,
134006,上海市高境第一中学,宝山区,一般高中,公办,一般高中,,,,,,,,
134009,上海市宝山区海滨中学,宝山区,一般高中,公办,一般高中,,,,,,,,
134010,上海民办行中中学,宝山区,一般高中,民办,一般高中,,,,,,,,
134012,上海存志高级中学,宝山区,一般高中,民办,一般高中,,,,,,,,
134013,上海宝山区民办维尚高级中学,宝山区,一般高中,民办,一般高中,,,,,,,,
134014,上海创艺高级中学,宝山区,一般高中,民办,一般高中,,,,,,,,
134015,上海市宝山华曜高级中学,宝山区,一般高中,民办,一般高中,,,,,,,,
135001,上海市同洲模范学校,宝山区,一般高中,民办,一般高中,,,,,,,,
135003,上海金瑞学校,宝山区,一般高中,民办,一般高中,,,,,,,,
135034,上海宝山区世外学校,宝山区,一般高中,民办,一般高中,,,,,,,,
142001,上海市嘉定区第一中学,嘉定区,市重点,公办,市实验性示范性高中,,,,,,,,
142002,上海交通大学附属中学嘉定分校,嘉定区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
142004,上海师范大学附属中学嘉定新城分校,嘉定区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
