序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
64,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,宝山,22
65,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,宝山,16
66,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,宝山,10
67,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,宝山,17
68,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,宝山,7
69,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,宝山,2
70,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,宝山,3
71,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,宝山,2
72,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,宝山,3
73,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,宝山,4
74,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,宝山,2
75,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,宝山,3
76,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,宝山,2
77,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,宝山,1
78,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,宝山,5
79,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,宝山,5
80,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,宝山,27
81,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,宝山,9
82,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,宝山,8
83,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,宝山,12
84,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,宝山,2
85,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,宝山,32
86,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,宝山,9
87,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,宝山,9
88,092001,复旦大学附属复兴中学,虹口区,公办,市实验性示范性高中,部分寄宿,宝山,12
89,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,宝山,4
90,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,宝山,6
91,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,宝山,9
92,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,宝山,10
93,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,宝山,20
94,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,宝山,6
95,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,宝山,10
96,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,宝山,2
97,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,宝山,5
98,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,宝山,10
99,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,宝山,10
100,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,宝山,10
101,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,宝山,3
102,133003,华东师范大学第二附属中学(宝山校区),宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,宝山,5
103,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,宝山,8
104,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,宝山,8
105,142004,上海师范大学附属中学嘉定新城分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,宝山,3
106,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,宝山,8
107,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,宝山,8
108,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,宝山,8
109,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,宝山,5
110,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,宝山,8
111,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,宝山,5
112,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,宝山,8
113,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,宝山,2
114,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,宝山,2
115,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,宝山,3
